Rainfall,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1992,3.560661078,34.88128412,0,22.68315504,102.7067251,222.595089,457.6232921,343.892273,192.3695258,37.01919861,0.671598792,0,1418.002803
1993,0,0,2.8029598,64.68280131,70.74578136,220.2474036,205.7243129,379.3501237,215.5960062,136.2006389,0,0,1295.350028
1994,0,24.90145993,3.648470223,117.3018328,41.92173648,418.0345792,302.576806,519.8484392,268.5916473,62.52333385,4.380251229,0,1763.728556
1995,33.10245085,42.92436647,14.96027184,26.18778118,483.3934069,81.85775685,264.3106673,332.8102984,350.3313552,132.170161,142.9173889,0,1904.965905
1996,30.51268171,10.22724263,15.70728242,74.81627989,49.87760389,337.7101731,130.9992998,174.9233541,98.88565254,54.91619849,11.99495602,7.621468827,998.1921935
1997,11.22668529,5.705195308,37.92752504,121.7247257,37.89590979,267.7213182,193.3157606,516.1438847,223.0319636,4.987654209,3.001693964,59.87887836,1482.561195
1998,17.81906185,85.23028469,96.31190002,57.80054772,96.46274221,143.3008499,261.1551077,226.7853145,319.0324407,150.4866081,154.4236738,0,1608.808531
1999,0.160420269,0,0,0.802101374,78.63660939,114.7949585,396.2266093,150.9596828,245.8410412,270.8242124,56.07875872,0,1314.324394
2000,0,23.93122673,0,14.9629631,100.8185768,150.2938864,177.8606335,223.9598632,74.95769334,15.99383998,0,0,782.7786831
2001,0,0,32.90543556,0,76.77935266,63.32118116,419.0423236,309.7964644,84.82146931,166.7469811,7.978754044,0,1161.391962
2002,0,0,0,16.95128441,140.6431952,124.7949347,245.5683928,330.9130635,294.5268517,39.89115524,0,0,1193.288878
2003,0,0,0,0,59.83580399,269.5723035,351.9574458,315.9637866,197.3120122,229.1045153,6.983063698,0,1430.728931
2004,1.995838165,53.86934662,0,4.011609554,0,84.83329487,375.4462114,178.2961645,103.8913205,112.8637629,0,0,915.2075484
2005,17.98472404,0,46.89214706,26.93333244,46.94701231,195.6965437,623.5688834,264.7282426,215.9493392,142.0757797,22.96895027,0,1603.744955
2006,0,0,1.008485913,26.93467522,24.97962904,115.8872733,194.8102856,401.8463494,431.3486855,58.89447594,27.93225479,0,1283.642115
2007,0,16.9988327,0,0,34.93200779,260.1140382,192.8123622,311.9615759,440.5879946,39.90523648,11.97096539,0,1309.283013
2008,53.90964127,0,6.044170141,8.007920504,12.98766136,309.8672807,366.9493065,462.637797,418.8223815,0,0,0,1639.226159
2009,0,0,7.792543635,6.130012274,49.30090973,88.02989791,457.3832749,256.4406619,152.9750424,156.2220369,53.5850966,0,1227.859476
2010,17.16127443,1.977922082,0,0.433322698,122.9805179,155.1996093,330.5955128,237.8184217,258.9881069,77.42947224,38.85110557,48.27910435,1289.71437
2011,0.172919407,25.93424797,0,0,64.95587921,286.6397247,202.8708112,518.1545286,308.2553625,26.92263031,0,0,1433.906104
2012,91.94311953,0,0,0,83.81324577,64.13803482,332.7419419,408.7567046,165.994256,79.84780693,89.16540975,0,1316.400519
2013,1.437172771,4.922339439,0,26.62531948,4.076007769,223.9690391,367.4252078,195.7475914,131.4080188,382.1844832,0,0,1337.79518
2014,0,21.76728821,0,37.1095891,88.94909287,83.8168686,564.3304297,314.3835034,392.1078452,106.0358618,0,0,1608.500479
2015,10.78402967,4.998220444,12.07205421,123.2739742,42.09043097,181.69664,204.0770034,220.3039748,117.9020572,0.114509046,0,14.85974181,932.1726359
2016,0,6.452719748,32.11740303,3.831440449,23.22166252,209.2802988,314.3126379,284.3219534,287.3853797,54.98870067,0.16548267,0,1216.077679
2017,0,0,40.42406321,1.318614721,39.81709677,225.5482563,180.3269003,254.94605,284.3801916,248.8289652,32.77451593,0,1308.364654
2018,0,0,0.222736403,109.7700834,91.2395326,185.7422056,343.4743075,322.1278979,321.2399567,230.091774,0,60.18339491,1664.091889
2019,1.297374129,32.42986774,41.18469,21.11523199,42.57570529,149.8075762,290.4834299,580.275161,385.1951108,143.0784647,0.105664335,14.45645428,1702.00473
2020,10.30740899,72.57210994,119.8098043,217.061452,26.55363064,254.7107422,208.7275295,629.0279222,225.9624407,115.3899332,0.380515754,0,1880.503489
2021,0,6.061743259,0,39.73156002,107.9533767,98.54606529,295.5076863,82.71538449,445.8372161,65.7648359,100.6019224,47.43865353,1290.158444
2022,43.28765249,0,0,47.03850912,137.8323167,150.9782694,517.9712471,780.8560993,206.4002876,131.953797,0,0.370678335,2016.688857
